symbol,entry_date,exit_date,entry,exit,sl,target,qty,pnl,result
RELIANCE,2026-05-25 14:45:00+05:30,2026-05-27 13:45:00+05:30,1368.5,1355.2,1333.5,1443.5,14,-186.19999999999936,MANUAL EXIT
RELIANCE,2026-06-16 14:45:00+05:30,2026-06-23 13:45:00+05:30,1326.2,1316.6,1291.2,1401.2,14,-134.4000000000019,MANUAL EXIT
TCS,2026-05-21 14:45:00+05:30,2026-05-25 09:45:00+05:30,2326.7,2299.5,2291.7,2401.7,14,-380.79999999999745,MANUAL EXIT
TCS,2026-06-15 14:15:00+05:30,2026-06-17 09:15:00+05:30,2164.9,2221.0,2129.9,2239.9,14,785.3999999999987,MANUAL EXIT
TCS,2026-06-17 14:45:00+05:30,2026-06-18 11:15:00+05:30,2223.1,2183.3,2188.1,2298.1,14,-490.0,SL HIT
TCS,2026-06-18 14:45:00+05:30,2026-06-19 09:15:00+05:30,2203.7,2074.5,2168.7,2278.7,14,-490.0,SL HIT
INFY,2026-05-29 13:15:00+05:30,2026-05-29 15:15:00+05:30,1193.1,1156.4,1158.1,1268.1,14,-490.0,SL HIT
INFY,2026-06-17 09:15:00+05:30,2026-06-18 12:15:00+05:30,1156.8,1131.1,1121.8,1231.8,13,-334.1000000000006,MANUAL EXIT
HDFCBANK,2026-05-14 14:45:00+05:30,2026-05-19 14:15:00+05:30,769.1,764.35,734.1,844.1,13,-61.75,MANUAL EXIT
HDFCBANK,2026-05-25 09:15:00+05:30,2026-05-27 11:45:00+05:30,782.55,761.7,747.55,857.55,13,-271.0499999999988,MANUAL EXIT
HDFCBANK,2026-06-04 14:45:00+05:30,2026-06-05 13:45:00+05:30,754.0,746.5,719.0,829.0,13,-97.5,MANUAL EXIT
HDFCBANK,2026-06-12 09:15:00+05:30,2026-06-12 14:15:00+05:30,758.45,770.6,723.45,833.45,13,157.9499999999997,MANUAL EXIT
HDFCBANK,2026-06-16 14:45:00+05:30,2026-06-19 15:15:00+05:30,785.15,781.0,750.15,860.15,13,-53.949999999999704,MANUAL EXIT
HDFCBANK,2026-06-22 13:45:00+05:30,2026-06-23 13:15:00+05:30,786.95,776.65,751.95,861.95,13,-133.9000000000009,MANUAL EXIT
ICICIBANK,2026-06-04 14:45:00+05:30,2026-06-10 10:45:00+05:30,1251.3,1298.5,1216.3,1326.3,13,613.6000000000006,MANUAL EXIT
ICICIBANK,2026-06-11 14:15:00+05:30,2026-06-15 09:15:00+05:30,1319.4,1346.2,1284.4,1394.4,13,348.3999999999994,MANUAL EXIT
ICICIBANK,2026-06-16 14:45:00+05:30,2026-06-25 11:45:00+05:30,1336.6,1402.2,1301.6,1411.6,13,852.8000000000018,MANUAL EXIT
